time (s),Vt 1 (v),Vt 2 (v),Vt 3 (v),Vt mean (v),Ln(Vt mean)
275.0,2.47,2.47,2.45,2.4633333333333334,0.9015154462920008
280.0,2.4,2.38,2.38,2.3866666666666663,0.8698976923044444
285.0,2.33,2.3,2.3,2.31,0.8372475245337022
290.0,2.25,2.24,2.24,2.2433333333333336,0.8079628549885268
295.0,2.19,2.18,2.16,2.1766666666666667,0.77779465462023
300.0,2.12,2.12,2.1,2.1133333333333333,0.7482664797810249
305.0,2.06,2.04,2.04,2.0466666666666664,0.7162124534909413
310.0,1.99,1.99,1.98,1.9866666666666666,0.6864581924091486
315.0,1.92,1.93,1.92,1.9233333333333331,0.6540597918518984
320.0,1.87,1.87,1.86,1.866666666666667,0.624154309072994
325.0,1.82,1.8,1.8,1.8066666666666666,0.5914835267834452
330.0,1.77,1.75,1.74,1.7533333333333332,0.5615187380815088
335.0,1.71,1.7,1.69,1.7,0.5306282510621704
340.0,1.66,1.65,1.64,1.6499999999999997,0.500775287912489
345.0,1.62,1.6,1.59,1.6033333333333335,0.4720847954495602
350.0,1.56,1.53,1.55,1.5466666666666666,0.4361020775700542
355.0,1.51,1.49,1.5,1.5,0.4054651081081644
360.0,1.47,1.46,1.46,1.4633333333333332,0.38071693841897014
365.0,1.42,1.42,1.41,1.4166666666666667,0.3483066942682158
370.0,1.38,1.38,1.37,1.3766666666666667,0.31966511830483174
375.0,1.35,1.34,1.33,1.34,0.29266961396282004
380.0,1.3,1.3,1.29,1.2966666666666666,0.2597968689622452
385.0,1.27,1.26,1.25,1.26,0.23111172096338664
390.0,1.23,1.22,1.22,1.2233333333333334,0.20157937339836926
395.0,1.19,1.19,1.18,1.1866666666666665,0.1711482561958293
400.0,1.16,1.15,1.15,1.153333333333333,0.142656300401523
405.0,1.13,1.12,1.11,1.12,0.11332868530700327
410.0,1.09,1.08,1.08,1.0833333333333333,0.08004270767353636
415.0,1.06,1.05,1.05,1.0533333333333335,0.051959738930711166
420.0,1.03,1.02,1.02,1.0233333333333332,0.02306527293099597
425.0,1.0,1.0,0.99,0.9966666666666667,-0.0033389012655145986
430.0,0.97,0.97,0.96,0.9666666666666667,-0.03390155167568134
435.0,0.94,0.94,0.94,0.94,-0.06187540371808753
440.0,0.91,0.91,0.91,0.91,-0.09431067947124129
445.0,0.89,0.89,0.89,0.89,-0.11653381625595151
